gene_identifier_upper,canonical_transcript,main
ENST00000301071,ENST00000301071,True
ENSG00000167552,ENST00000301071,True
TUBA1A,ENST00000301071,True
TUBA3,ENST00000301071,False
B-ALPHA-1,ENST00000301071,False
FLJ25113,ENST00000301071,False
ENST00000296417,ENST00000296417,True
ENSG00000164032,ENST00000296417,True
H2AFZ,ENST00000296417,True
H2AZ,ENST00000296417,False
H2A.Z,ENST00000296417,False
ENST00000357194,ENST00000357194,True
ENSG00000109332,ENST00000357194,True
UBE2D3,ENST00000357194,True
UBCH5C,ENST00000357194,False
ENST00000344548,ENST00000344548,True
ENSG00000070831,ENST00000344548,True
CDC42,ENST00000344548,True
G25K,ENST00000344548,False
CDC42HS,ENST00000344548,False
ENST00000272298,ENST00000272298,True
ENSG00000143933,ENST00000272298,True
CALM2,ENST00000272298,True
PHKD,ENST00000272298,False
CAMII,ENST00000272298,False
ENST00000336023,ENST00000336023,True
ENSG00000123416,ENST00000336023,True
TUBA1B,ENST00000336023,True
K-ALPHA-1,ENST00000336023,False
ENST00000331789,ENST00000331789,True
ENSG00000075624,ENST00000331789,True
ACTB,ENST00000331789,True
ENST00000418115,ENST00000418115,True
ENSG00000067560,ENST00000418115,True
RHOA,ENST00000418115,True
ARH12,ENST00000418115,False
ARHA,ENST00000418115,False
RHOA,ENST00000418115,False
RHO12,ENST00000418115,False
RHOH12,ENST00000418115,False
ENST00000336812,ENST00000336812,True
ENSG00000109606,ENST00000336812,True
DHX15,ENST00000336812,True
DDX15,ENST00000336812,False
HRH2,ENST00000336812,False
DBP1,ENST00000336812,False
PRP43,ENST00000336812,False
PRPP43P,ENST00000336812,False
PRPF43,ENST00000336812,False
ENST00000481195,ENST00000481195,True
ENSG00000113575,ENST00000481195,True
PPP2CA,ENST00000481195,True
PP2CALPHA,ENST00000481195,False
ENST00000335508,ENST00000335508,True
ENSG00000115524,ENST00000335508,True
SF3B1,ENST00000335508,True
SAP155,ENST00000335508,False
SF3B155,ENST00000335508,False
PRPF10,ENST00000335508,False
PRP10,ENST00000335508,False
HSH155,ENST00000335508,False
ENST00000300249,ENST00000300249,True
ENSG00000166974,ENST00000300249,True
MAPRE2,ENST00000300249,True
RP1,ENST00000300249,False
EB1,ENST00000300249,False
EB2,ENST00000300249,False
ENST00000543796,ENST00000543796,True
ENSG00000132341,ENST00000543796,True
RAN,ENST00000543796,True
ARA24,ENST00000543796,False
TC4,ENST00000543796,False
GSP1,ENST00000543796,False
ENST00000300291,ENST00000300291,True
ENSG00000167005,ENST00000300291,True
NUDT21,ENST00000300291,True
CPSF5,ENST00000300291,False
CFIM25,ENST00000300291,False
ENST00000373493,ENST00000373493,True
ENSG00000162521,ENST00000373493,True
RBBP4,ENST00000373493,True
RBAP48,ENST00000373493,False
NURF55,ENST00000373493,False
ENST00000395366,ENST00000395366,True
ENSG00000213639,ENST00000395366,True
PPP1CB,ENST00000395366,True
PP1B,ENST00000395366,False
PP-1B,ENST00000395366,False
PP1BETA,ENST00000395366,False
ENST00000216252,ENST00000216252,True
ENSG00000100410,ENST00000216252,True
PHF5A,ENST00000216252,True
MGC1346,ENST00000216252,False
SF3B14B,ENST00000216252,False
INI,ENST00000216252,False
BK223H9.2,ENST00000216252,False
RDS3,ENST00000216252,False
SAP14B,ENST00000216252,False
ENST00000355621,ENST00000355621,True
ENSG00000186591,ENST00000355621,True
UBE2H,ENST00000355621,True
UBCH,ENST00000355621,False
UBC8,ENST00000355621,False
GID3,ENST00000355621,False
ENST00000327892,ENST00000327892,True
ENSG00000196230,ENST00000327892,True
TUBB,ENST00000327892,True
OK/SW-CL.56,ENST00000327892,False
MGC16435,ENST00000327892,False
M40,ENST00000327892,False
TUBB5,ENST00000327892,False
ENST00000258962,ENST00000258962,True
ENSG00000136450,ENST00000258962,True
SRSF1,ENST00000258962,True
SFRS1,ENST00000258962,False
ASF,ENST00000258962,False
SF2,ENST00000258962,False
SRP30A,ENST00000258962,False
SF2P33,ENST00000258962,False
MGC5228,ENST00000258962,False
ENST00000356142,ENST00000356142,True
ENSG00000136238,ENST00000356142,True
RAC1,ENST00000356142,True
TC-25,ENST00000356142,False
P21-RAC1,ENST00000356142,False
RAC-1,ENST00000356142,False
ENST00000393331,ENST00000393331,True
ENSG00000121067,ENST00000393331,True
SPOP,ENST00000393331,True
TEF2,ENST00000393331,False
BTBD32,ENST00000393331,False
ENST00000360541,ENST00000360541,True
ENSG00000120705,ENST00000360541,True
ETF1,ENST00000360541,True
SUP45L1,ENST00000360541,False
ERF1,ENST00000360541,False
ERF,ENST00000360541,False
ERF1,ENST00000360541,False
TB3-1,ENST00000360541,False
RF1,ENST00000360541,False
ENST00000356978,ENST00000356978,True
ENSG00000198668,ENST00000356978,True
CALM1,ENST00000356978,True
CALML2,ENST00000356978,False
CAMI,ENST00000356978,False
PHKD,ENST00000356978,False
DD132,ENST00000356978,False
ENST00000420696,ENST00000420696,True
ENSG00000185630,ENST00000420696,True
PBX1,ENST00000420696,True
ENST00000526683,ENST00000526683,True
ENSG00000179950,ENST00000526683,True
PUF60,ENST00000526683,True
FIR,ENST00000526683,False
SIAHBP1,ENST00000526683,False
ROBPI,ENST00000526683,False
ENST00000372435,ENST00000372435,True
ENSG00000147224,ENST00000372435,True
PRPS1,ENST00000372435,True
DFN2,ENST00000372435,False
CMTX5,ENST00000372435,False
DFNX1,ENST00000372435,False
ENST00000355803,ENST00000355803,True
ENSG00000103275,ENST00000355803,True
UBE2I,ENST00000355803,True
UBC9,ENST00000355803,False
ENST00000253363,ENST00000253363,True
ENSG00000131051,ENST00000253363,True
RBM39,ENST00000253363,True
RNPC2,ENST00000253363,False
CC1.3,ENST00000253363,False
HCC1,ENST00000253363,False
CAPER,ENST00000253363,False
FSAP59,ENST00000253363,False
ENST00000379887,ENST00000379887,True
ENSG00000166233,ENST00000379887,True
ARIH1,ENST00000379887,True
HARI,ENST00000379887,False
HHARI,ENST00000379887,False
UBCH7BP,ENST00000379887,False
ARI,ENST00000379887,False
ENST00000262238,ENST00000262238,True
ENSG00000100811,ENST00000262238,True
YY1,ENST00000262238,True
NF-E1,ENST00000262238,False
DELTA,ENST00000262238,False
UCRBP,ENST00000262238,False
YIN-YANG-1,ENST00000262238,False
INO80S,ENST00000262238,False
ENST00000272369,ENST00000272369,True
ENSG00000143995,ENST00000272369,True
MEIS1,ENST00000272369,True
ENST00000398733,ENST00000398733,True
ENSG00000131508,ENST00000398733,True
UBE2D2,ENST00000398733,True
UBCH5B,ENST00000398733,False
UBC4,ENST00000398733,False
ENST00000541182,ENST00000541182,True
ENSG00000143761,ENST00000541182,True
ARF1,ENST00000541182,True
ENST00000262494,ENST00000262494,True
ENSG00000087258,ENST00000262494,True
GNAO1,ENST00000262494,True
G-ALPHA-O,ENST00000262494,False
ENST00000373715,ENST00000373715,True
ENSG00000112081,ENST00000373715,True
SRSF3,ENST00000373715,True
SFRS3,ENST00000373715,False
SRP20,ENST00000373715,False
ENST00000369603,ENST00000369603,True
ENSG00000119953,ENST00000369603,True
SMNDC1,ENST00000369603,True
SPF30,ENST00000369603,False
SMNR,ENST00000369603,False
TDRD16C,ENST00000369603,False
ENST00000432329,ENST00000432329,True
ENSG00000118260,ENST00000432329,True
CREB1,ENST00000432329,True
ENST00000354534,ENST00000354534,True
ENSG00000196876,ENST00000354534,True
SCN8A,ENST00000354534,True
MED,ENST00000354534,False
NAV1.6,ENST00000354534,False
NACH6,ENST00000354534,False
PN4,ENST00000354534,False
CERIII,ENST00000354534,False
ENST00000308924,ENST00000308924,True
ENSG00000063244,ENST00000308924,True
U2AF2,ENST00000308924,True
U2AF65,ENST00000308924,False
ENST00000261427,ENST00000261427,True
ENSG00000078140,ENST00000261427,True
UBE2K,ENST00000261427,True
HIP2,ENST00000261427,False
HYPG,ENST00000261427,False
UBC1,ENST00000261427,False
ENST00000216225,ENST00000216225,True
ENSG00000100387,ENST00000216225,True
RBX1,ENST00000216225,True
ROC1,ENST00000216225,False
RNF75,ENST00000216225,False
BA554C12.1,ENST00000216225,False
ENST00000396981,ENST00000396981,True
ENSG00000132388,ENST00000396981,True
UBE2G1,ENST00000396981,True
UBE2G,ENST00000396981,False
UBC7,ENST00000396981,False
ENST00000373719,ENST00000373719,True
ENSG00000147162,ENST00000373719,True
OGT,ENST00000373719,True
O-GLCNAC,ENST00000373719,False
HRNT1,ENST00000373719,False
MGC22921,ENST00000373719,False
FLJ23071,ENST00000373719,False
ENST00000393232,ENST00000393232,True
